Omzet_Bulanan_Juta_Rp,Laba_Bersih_Bulanan_Juta_Rp,Jumlah_Karyawan,Total_Aset_Juta_Rp,Pencatatan_Keuangan_1_3,Tingkat_Digitalisasi_1_4
56.31,13.09,4,211.0,3,4
19.71,3.34,1,70.31,2,2
3.48,0.59,1,1.01,1,1
5.96,-0.15,1,4.73,2,1
5.74,0.44,1,3.65,2,1
6.24,-0.42,1,3.86,1,1
20.28,3.51,2,28.2,2,2
6.48,-0.13,1,8.13,1,1
4.47,0.1,1,3.61,1,1
97.36,37.08,8,116.15,2,3
36.66,7.66,2,11.59,2,3
6.6,1.59,1,7.93,1,1
5.1,0.93,1,5.43,1,1
3.06,0.72,1,5.42,1,1
30.38,4.91,3,30.24,3,2
2.51,-0.09,1,5.1,1,1
30.92,4.8,3,21.56,1,3
5.9,1.15,1,7.94,1,1
16.51,4.94,3,40.43,2,3
6.75,0.72,1,7.65,1,1
38.26,7.53,1,92.99,3,2
6.69,0.67,1,6.37,1,1
27.43,6.48,2,57.82,2,3
37.52,9.52,3,30.99,2,2
76.95,17.89,9,435.86,3,4
33.19,8.66,2,60.06,2,3
38.4,6.71,2,24.2,2,2
92.37,34.71,6,290.43,3,3
26.23,6.67,1,21.79,2,3
1.05,0.07,1,8.97,1,1
0.83,-0.04,1,8.08,1,1
18.73,4.77,3,96.54,3,2
76.57,19.54,5,336.02,3,3
0.8,0.16,1,1.2,1,1
4.47,-0.01,1,4.28,1,1
1.09,0.03,1,7.77,1,2
4.51,0.18,1,9.71,1,1
8.18,2.03,2,13.2,2,2
4.08,-0.23,1,2.87,2,1
101.21,29.8,9,238.44,3,3
16.58,4.66,2,81.72,2,2
0.66,-0.01,1,7.2,1,1
24.07,5.72,2,61.47,2,2
5.93,-0.49,1,2.55,1,1
2.67,0.47,1,4.91,2,2
1.24,-0.12,1,8.92,1,1
42.53,11.54,6,213.77,3,3
1.89,0.0,1,1.22,1,1
30.72,6.17,3,35.51,2,2
39.86,9.87,1,85.2,3,2
34.43,9.6,2,31.79,2,3
6.44,-0.24,1,6.9,1,2
6.59,-0.25,1,7.05,1,1
137.42,45.63,9,443.39,3,3
13.59,3.89,1,43.01,2,2
22.56,6.03,2,19.92,2,2
3.83,0.35,1,4.39,1,1
2.02,-0.15,1,4.81,1,1
3.4,0.83,1,3.33,1,1
27.95,6.04,2,49.93,2,3
155.44,41.5,3,464.73,3,3
15.19,4.45,2,51.12,3,2
6.03,1.41,1,7.77,1,2
6.79,0.03,1,1.5,1,1
27.95,8.01,3,91.37,2,2
35.05,6.16,1,10.35,2,3
1.02,0.01,1,8.13,1,1
45.72,17.13,7,347.24,3,4
23.37,4.44,3,31.3,3,3
25.4,4.65,3,66.53,2,3
11.51,2.67,1,98.95,2,2
6.53,1.45,1,8.44,1,1
26.93,4.69,3,21.14,1,3
65.63,21.15,10,385.1,2,3
32.96,4.95,1,85.78,2,3
6.93,-0.54,1,8.67,1,1
32.47,7.6,3,27.54,2,3
20.58,3.29,3,54.64,2,3
17.28,4.23,1,30.28,2,3
37.17,7.73,3,42.38,2,2
20.94,4.69,3,32.33,2,3
1.76,0.21,1,6.33,1,1
14.02,3.38,2,53.21,2,2
6.11,-0.38,1,2.52,1,1
3.03,0.36,1,9.92,1,1
34.43,6.91,3,41.11,2,2
1.17,-0.04,1,2.92,1,1
26.85,6.75,2,36.08,3,3
2.64,0.14,1,9.83,1,1
6.97,-0.57,1,4.55,1,1
0.67,0.06,1,7.51,1,1
34.74,8.42,2,50.16,2,2
4.38,0.82,1,9.54,2,1
111.07,32.22,6,360.99,3,3
2.19,0.22,1,4.18,2,1
30.41,6.3,1,86.31,2,2
3.77,-0.31,1,6.53,1,1
20.47,4.79,3,25.75,3,2
0.59,0.08,1,9.38,1,1
134.66,53.06,7,476.1,2,3
4.97,-0.37,1,4.23,1,1
119.57,26.18,9,333.84,3,4
131.56,30.61,6,475.11,3,4
132.54,32.43,8,183.48,3,3
5.54,1.18,1,2.43,1,1
32.9,5.86,2,53.52,2,3
4.01,0.16,1,8.06,1,1
19.91,5.09,2,75.66,2,3
39.86,9.12,3,48.68,3,2
24.45,5.22,1,84.1,2,2
38.56,5.96,2,74.19,3,2
2.15,0.46,1,3.9,1,1
3.02,0.33,1,4.3,1,1
33.81,6.73,2,68.88,3,3
17.53,4.26,3,92.64,2,3
8.52,1.97,3,51.05,2,3
